Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	0	3.0	500	1800	crestedargus	crestedargus	0.2770
2	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	3.0	6.0	500	1800	crestedargus	crestedargus	0.3118
3	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	6.0	9.0	500	1800	crestedargus	crestedargus	0.5057
4	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	9.0	12.0	500	1800	crestedargus	crestedargus	0.3009
5	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	12.0	15.0	500	1800	crestedargus	crestedargus	0.3751
6	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	15.0	18.0	500	1800	crestedargus	crestedargus	0.3927
7	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	18.0	21.0	500	1800	crestedargus	crestedargus	0.5158
8	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	21.0	24.0	500	1800	crestedargus	crestedargus	0.5100
9	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	24.0	27.0	500	1800	crestedargus	crestedargus	0.2830
10	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	27.0	30.0	500	1800	crestedargus	crestedargus	0.5587
11	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	30.0	33.0	500	1800	crestedargus	crestedargus	0.2293
12	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	33.0	36.0	500	1800	crestedargus	crestedargus	0.4373
13	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	36.0	39.0	500	1800	crestedargus	crestedargus	0.5156
14	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	39.0	42.0	500	1800	crestedargus	crestedargus	0.4144
15	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	42.0	45.0	500	1800	crestedargus	crestedargus	0.4678
16	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	45.0	48.0	500	1800	crestedargus	crestedargus	0.4066
17	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	48.0	51.0	500	1800	crestedargus	crestedargus	0.2540
18	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	51.0	54.0	500	1800	crestedargus	crestedargus	0.5196
19	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	54.0	57.0	500	1800	crestedargus	crestedargus	0.2876
20	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	57.0	60.0	500	1800	crestedargus	crestedargus	0.3909
21	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	60.0	63.0	500	1800	crestedargus	crestedargus	0.3558
22	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	63.0	66.0	500	1800	crestedargus	crestedargus	0.4989
23	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	66.0	69.0	500	1800	crestedargus	crestedargus	0.4609
24	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	69.0	72.0	500	1800	crestedargus	crestedargus	0.3759
25	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	72.0	75.0	500	1800	crestedargus	crestedargus	0.4188
26	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	75.0	78.0	500	1800	crestedargus	crestedargus	0.2640
27	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	78.0	81.0	500	1800	crestedargus	crestedargus	0.6775
28	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	81.0	84.0	500	1800	crestedargus	crestedargus	0.3078
29	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	84.0	87.0	500	1800	crestedargus	crestedargus	0.5557
30	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	87.0	90.0	500	1800	crestedargus	crestedargus	0.4443
31	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	90.0	93.0	500	1800	crestedargus	crestedargus	0.4986
32	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	93.0	96.0	500	1800	crestedargus	crestedargus	0.3880
33	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	96.0	99.0	500	1800	crestedargus	crestedargus	0.3858
34	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	99.0	102.0	500	1800	crestedargus	crestedargus	0.4414
35	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	102.0	105.0	500	1800	crestedargus	crestedargus	0.3884
36	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	105.0	108.0	500	1800	crestedargus	crestedargus	0.2996
37	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	108.0	111.0	500	1800	crestedargus	crestedargus	0.3948
38	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	111.0	114.0	500	1800	crestedargus	crestedargus	0.4484
39	Spectrogram 1	1	/Users/denaclink/Downloads/Data_test_Argus/ValidationWavs/20220504_190046.wav	3580	114.0	117.0	500	1800	crestedargus	crestedargus	0.3662
