Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	36.213	38.589	500	1800	20220504_050046	SVM	0.183	crestedargus
2	Spectrogram 1	1	40.113	41.158	500	1800	20220504_050046	SVM	0.167	crestedargus
3	Spectrogram 1	1	74.432	75.637	500	1800	20220504_050046	SVM	0.181	crestedargus
4	Spectrogram 1	1	108.225	109.259	500	1800	20220504_050046	SVM	0.196	crestedargus
5	Spectrogram 1	1	288.861	290.364	500	1800	20220504_050046	SVM	0.212	crestedargus
6	Spectrogram 1	1	296.782	299.746	500	1800	20220504_050046	SVM	0.225	crestedargus
7	Spectrogram 1	1	303.541	304.742	500	1800	20220504_050046	SVM	0.216	crestedargus
8	Spectrogram 1	1	308.356	309.633	500	1800	20220504_050046	SVM	0.173	crestedargus
9	Spectrogram 1	1	323.195	324.222	500	1800	20220504_050046	SVM	0.18	crestedargus
10	Spectrogram 1	1	342.091	343.6	500	1800	20220504_050046	SVM	0.147	crestedargus
11	Spectrogram 1	1	355.83	358.287	500	1800	20220504_050046	SVM	0.136	crestedargus
12	Spectrogram 1	1	359.346	362.191	500	1800	20220504_050046	SVM	0.157	crestedargus
13	Spectrogram 1	1	369.229	370.764	500	1800	20220504_050046	SVM	0.169	crestedargus
14	Spectrogram 1	1	376.801	378.18	500	1800	20220504_050046	SVM	0.171	crestedargus
15	Spectrogram 1	1	383.27	384.921	500	1800	20220504_050046	SVM	0.167	crestedargus
16	Spectrogram 1	1	421.334	422.404	500	1800	20220504_050046	SVM	0.239	crestedargus
17	Spectrogram 1	1	443.901	445.138	500	1800	20220504_050046	SVM	0.188	crestedargus
18	Spectrogram 1	1	450.116	451.27	500	1800	20220504_050046	SVM	0.227	crestedargus
19	Spectrogram 1	1	462.14	463.388	500	1800	20220504_050046	SVM	0.169	crestedargus
20	Spectrogram 1	1	504.223	507.191	500	1800	20220504_050046	SVM	0.1185	crestedargus
21	Spectrogram 1	1	580.448	581.572	500	1800	20220504_050046	SVM	0.182	crestedargus
22	Spectrogram 1	1	614.266	615.351	500	1800	20220504_050046	SVM	0.226	crestedargus
23	Spectrogram 1	1	617.259	618.337	500	1800	20220504_050046	SVM	0.212	crestedargus
24	Spectrogram 1	1	636.721	637.802	500	1800	20220504_050046	SVM	0.185	crestedargus
25	Spectrogram 1	1	643.313	644.765	500	1800	20220504_050046	SVM	0.171	crestedargus
26	Spectrogram 1	1	681.826	682.853	500	1800	20220504_050046	SVM	0.236	crestedargus
27	Spectrogram 1	1	724.603	725.68	500	1800	20220504_050046	SVM	0.256	crestedargus
28	Spectrogram 1	1	733.706	735.963	500	1800	20220504_050046	SVM	0.2135	crestedargus
29	Spectrogram 1	1	749.768	751.012	500	1800	20220504_050046	SVM	0.222	crestedargus
30	Spectrogram 1	1	755.762	756.832	500	1800	20220504_050046	SVM	0.226	crestedargus
31	Spectrogram 1	1	773.87	775.103	500	1800	20220504_050046	SVM	0.172	crestedargus
32	Spectrogram 1	1	780.201	781.289	500	1800	20220504_050046	SVM	0.215	crestedargus
33	Spectrogram 1	1	783.423	784.754	500	1800	20220504_050046	SVM	0.209	crestedargus
34	Spectrogram 1	1	787.472	788.51	500	1800	20220504_050046	SVM	0.2	crestedargus
35	Spectrogram 1	1	798.219	799.318	500	1800	20220504_050046	SVM	0.24	crestedargus
36	Spectrogram 1	1	975.952	977.309	500	1800	20220504_050046	SVM	0.163	crestedargus
37	Spectrogram 1	1	997.711	998.941	500	1800	20220504_050046	SVM	0.201	crestedargus
38	Spectrogram 1	1	1036.521	1037.922	500	1800	20220504_050046	SVM	0.204	crestedargus
39	Spectrogram 1	1	1047.943	1049.086	500	1800	20220504_050046	SVM	0.261	crestedargus
40	Spectrogram 1	1	1066.824	1067.901	500	1800	20220504_050046	SVM	0.282	crestedargus
